## DSID    events    xsec[pb]*kfac*filter        lumi[fb-1]         name
---------  --------  --------------------------  -----------------  ------------------------------------------------------------------------------
##         ##        ====================        ##                 ##
##         ##        Diboson_DC14_MC15sim        ##                 ##
303781     50000     7.2131e-08*1.0*1.0          693183236.06       mc15_13TeV.303781.Sherpa_CT10_VV_evvv_3000MT4000
303782     50000     4.8886e-09*1.0*1.0          10227877101.8      mc15_13TeV.303782.Sherpa_CT10_VV_evvv_4000MT5000
303783     50000     3.7731e-10*1.0*1.0          132517028438.0     mc15_13TeV.303783.Sherpa_CT10_VV_evvv_5000MT
303784     400000    0.56157*1.0*1.0             712.29             mc15_13TeV.303784.Sherpa_CT10_VV_muvll_50MT150
303785     100000    0.021473*1.0*1.0            4657.01            mc15_13TeV.303785.Sherpa_CT10_VV_muvll_150MT500
303786     100000    0.0003394*1.0*1.0           294637.6           mc15_13TeV.303786.Sherpa_CT10_VV_muvll_500MT1000
303787     100000    1.7682e-05*1.0*1.0          5655468.84         mc15_13TeV.303787.Sherpa_CT10_VV_muvll_1000MT2000
303788     100000    3.9048e-07*1.0*1.0          256095062.49       mc15_13TeV.303788.Sherpa_CT10_VV_muvll_2000MT3000
303789     100000    1.972e-08*1.0*1.0           5070993914.81      mc15_13TeV.303789.Sherpa_CT10_VV_muvll_3000MT4000
303790     100000    1.2402e-09*1.0*1.0          80632156103.9      mc15_13TeV.303790.Sherpa_CT10_VV_muvll_4000MT5000
303791     100000    8.7085e-11*1.0*1.0          1.14830338175e+12  mc15_13TeV.303791.Sherpa_CT10_VV_muvll_5000MT
303792     200000    3.806*1.0*1.0               52.55              mc15_13TeV.303792.Sherpa_CT10_VV_muvlv_50MT150
303793     50000     0.31725*1.0*1.0             157.6              mc15_13TeV.303793.Sherpa_CT10_VV_muvlv_150MT500
303794     50000     0.0037166*1.0*1.0           13453.16           mc15_13TeV.303794.Sherpa_CT10_VV_muvlv_500MT1000
303795     50000     0.00017824*1.0*1.0          280520.65          mc15_13TeV.303795.Sherpa_CT10_VV_muvlv_1000MT2000
303796     50000     3.8009e-06*1.0*1.0          13154779.13        mc15_13TeV.303796.Sherpa_CT10_VV_muvlv_2000MT3000
303797     50000     2.042e-07*1.0*1.0           244857982.37       mc15_13TeV.303797.Sherpa_CT10_VV_muvlv_3000MT4000
303798     50000     1.491e-08*1.0*1.0           3353454057.68      mc15_13TeV.303798.Sherpa_CT10_VV_muvlv_4000MT5000
303799     50000     1.2755e-09*1.0*1.0          39200313602.5      mc15_13TeV.303799.Sherpa_CT10_VV_muvlv_5000MT
303800     300000    21.365*1.0*1.0              14.04              mc15_13TeV.303800.Sherpa_CT10_VV_muvqq_50MT150
303801     50000     0.047928*1.0*1.0            1043.23            mc15_13TeV.303801.Sherpa_CT10_VV_muvqq_150MT500
303802     50000     0.0015142*1.0*1.0           33020.74           mc15_13TeV.303802.Sherpa_CT10_VV_muvqq_500MT1000
303803     50000     0.00014271*1.0*1.0          350360.87          mc15_13TeV.303803.Sherpa_CT10_VV_muvqq_1000MT2000
303804     50000     4.9495e-06*1.0*1.0          10102030.51        mc15_13TeV.303804.Sherpa_CT10_VV_muvqq_2000MT3000
303805     50000     3.1593e-07*1.0*1.0          158262906.34       mc15_13TeV.303805.Sherpa_CT10_VV_muvqq_3000MT4000
303806     50000     2.4049e-08*1.0*1.0          2079088527.59      mc15_13TeV.303806.Sherpa_CT10_VV_muvqq_4000MT5000
303807     50000     2.0192e-09*1.0*1.0          24762282091.9      mc15_13TeV.303807.Sherpa_CT10_VV_muvqq_5000MT
303808     200000    0.5673*1.0*1.0              352.55             mc15_13TeV.303808.Sherpa_CT10_VV_muvvv_50MT150
303809     50000     0.097886*1.0*1.0            510.8              mc15_13TeV.303809.Sherpa_CT10_VV_muvvv_150MT500
303810     50000     0.0014156*1.0*1.0           35320.71           mc15_13TeV.303810.Sherpa_CT10_VV_muvvv_500MT1000
303811     50000     6.5751e-05*1.0*1.0          760444.71          mc15_13TeV.303811.Sherpa_CT10_VV_muvvv_1000MT2000
303812     50000     1.3721e-06*1.0*1.0          36440492.68        mc15_13TeV.303812.Sherpa_CT10_VV_muvvv_2000MT3000
303813     50000     7.2829e-08*1.0*1.0          686539702.59       mc15_13TeV.303813.Sherpa_CT10_VV_muvvv_3000MT4000
303814     50000     4.8017e-09*1.0*1.0          10412978736.7      mc15_13TeV.303814.Sherpa_CT10_VV_muvvv_4000MT5000
303815     50000     3.7257e-10*1.0*1.0          134202968570.0     mc15_13TeV.303815.Sherpa_CT10_VV_muvvv_5000MT
304933     250000    1.828*1.0*1.0               136.76             mc15_13TeV.304933.Sherpa_CT10_VV_evtauv_0M150
304934     150000    0.45656*1.0*1.0             328.54             mc15_13TeV.304934.Sherpa_CT10_VV_evtauv_150M500
304935     150000    0.015772*1.0*1.0            9510.52            mc15_13TeV.304935.Sherpa_CT10_VV_evtauv_500M1000
