
# DSID  events  xsec[pb]*kfac*filter    lumi            name
# ------------------------------------------------------------
301063 	99400 	0.31235*1.0*1.0 	318.23 		mc15_13TeV.301063.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_400M600.merge.AOD.e3663_s2608_s2183_r6869_r6282
301064 	49600 	0.060793*1.0*1.0 	815.88 		mc15_13TeV.301064.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_600M800.merge.AOD.e3663_s2608_s2183_r6869_r6282
301065 	49800 	0.017668*1.0*1.0 	2818.66 	mc15_13TeV.301065.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_800M1000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301066 	49800 	0.0072895*1.0*1.0 	6831.74 	mc15_13TeV.301066.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1000M1250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301067 	50000 	0.0025071*1.0*1.0 	19943.36 	mc15_13TeV.301067.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1250M1500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301068 	49800 	0.00098628*1.0*1.0 	50492.76 	mc15_13TeV.301068.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1500M1750.merge.AOD.e3663_s2608_s2183_r6869_r6282
301069 	40000 	0.0004245*1.0*1.0 	94228.50 	mc15_13TeV.301069.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1750M2000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301070 	50000 	0.00019463*1.0*1.0 	256897.70 	mc15_13TeV.301070.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2000M2250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301071 	50000 	9.3349e-05*1.0*1.0 	535624.38 	mc15_13TeV.301071.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2250M2500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301072 	49800 	4.6259e-05*1.0*1.0 	1076547.27 	mc15_13TeV.301072.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2500M2750.merge.AOD.e3663_s2608_s2183_r6869_r6282
301073 	49600 	2.3476e-05*1.0*1.0 	2112796.05 	mc15_13TeV.301073.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2750M3000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301074 	50000 	1.845e-05*1.0*1.0 	2710027.10 	mc15_13TeV.301074.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_3000M3500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301075 	49800 	5.0968e-06*1.0*1.0 	9770836.60 	mc15_13TeV.301075.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_3500M4000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301076 	50000 	1.4307e-06*1.0*1.0 	34947927.59 	mc15_13TeV.301076.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_4000M4500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301077 	50000 	4.0127e-07*1.0*1.0 	124604381.09 	mc15_13TeV.301077.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_4500M5000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301078 	50000 	1.5346e-07*1.0*1.0 	325817802.68 	mc15_13TeV.301078.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_5000M.merge.AOD.e3663_s2608_s2183_r6869_r6282

301080 	499600 	22.198*1.0*1.0 		22.51 		mc15_13TeV.301080.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_120M180.merge.AOD.e3663_s2608_s2183_r6869_r6282
